Province/State,Last_Update,Confirmed,Deaths,Recovered
Alabama,2020-03-11,5.0,0.0,0.0
Alabama,2020-03-14,6.0,0.0,0.0
Alabama,2020-03-15,12.0,0.0,0.0
Alabama,2020-03-16,29.0,0.0,0.0
Alabama,2020-03-17,39.0,0.0,0.0
Alabama,2020-03-18,46.0,0.0,0.0
Alabama,2020-03-19,78.0,0.0,0.0
Alabama,2020-03-20,83.0,0.0,0.0
Alabama,2020-03-21,131.0,0.0,0.0
Alabama,2020-03-22,157.0,0.0,0.0
Alabama,2020-03-23,196.0,0.0,0.0
Alabama,2020-03-24,242.0,0.0,0.0
Alabama,2020-03-25,381.0,1.0,0.0
Alabama,2020-03-26,517.0,1.0,0.0
Alabama,2020-03-27,587.0,4.0,0.0
Alabama,2020-03-28,694.0,4.0,0.0
Alabama,2020-03-29,825.0,10.0,0.0
Alabama,2020-03-30,899.0,10.0,0.0
Alabama,2020-03-31,987.0,23.0,0.0
Alabama,2020-04-01,1060.0,27.0,0.0
Alabama,2020-04-02,1233.0,32.0,0.0
Alabama,2020-04-03,1495.0,38.0,0.0
Alabama,2020-04-04,1614.0,44.0,0.0
Alabama,2020-04-05,1765.0,45.0,0.0
Alabama,2020-04-06,1952.0,49.0,0.0
Alaska,2020-03-10,0.0,0.0,0.0
Alaska,2020-03-11,1.0,0.0,0.0
Alaska,2020-03-13,2.0,0.0,0.0
Alaska,2020-03-17,3.0,0.0,0.0
Alaska,2020-03-18,6.0,0.0,0.0
Alaska,2020-03-19,9.0,0.0,0.0
Alaska,2020-03-20,12.0,0.0,0.0
Alaska,2020-03-21,15.0,0.0,0.0
Alaska,2020-03-22,20.0,0.0,0.0
Alaska,2020-03-23,30.0,0.0,0.0
Alaska,2020-03-24,34.0,0.0,0.0
Alaska,2020-03-25,41.0,1.0,0.0
Alaska,2020-03-26,56.0,1.0,0.0
Alaska,2020-03-27,58.0,1.0,0.0
Alaska,2020-03-28,85.0,2.0,0.0
Alaska,2020-03-29,102.0,2.0,0.0
Alaska,2020-03-30,114.0,3.0,0.0
Alaska,2020-03-31,119.0,3.0,0.0
Alaska,2020-04-01,132.0,3.0,0.0
Alaska,2020-04-02,143.0,3.0,0.0
Alaska,2020-04-03,157.0,3.0,0.0
Alaska,2020-04-04,171.0,5.0,0.0
Alaska,2020-04-05,185.0,6.0,0.0
Alaska,2020-04-06,137.0,6.0,0.0
American Samoa,2020-03-22,0.0,0.0,0.0
American Samoa,2020-03-23,0.0,0.0,0.0
American Samoa,2020-03-24,0.0,0.0,0.0
American Samoa,2020-03-25,0.0,0.0,0.0
American Samoa,2020-03-26,0.0,0.0,0.0
American Samoa,2020-03-27,0.0,0.0,0.0
American Samoa,2020-03-28,0.0,0.0,0.0
American Samoa,2020-03-29,0.0,0.0,0.0
American Samoa,2020-03-30,0.0,0.0,0.0
Arizona,2020-01-26,1.0,0.0,0.0
Arizona,2020-01-27,1.0,0.0,0.0
Arizona,2020-01-28,1.0,0.0,0.0
Arizona,2020-01-29,1.0,0.0,0.0
Arizona,2020-01-30,1.0,0.0,0.0
Arizona,2020-01-31,1.0,0.0,0.0
Arizona,2020-03-10,6.0,0.0,1.0
Arizona,2020-03-11,27.0,0.0,3.0
Arizona,2020-03-14,25.0,0.0,2.0
Arizona,2020-03-16,18.0,0.0,1.0
Arizona,2020-03-17,20.0,0.0,1.0
Arizona,2020-03-18,27.0,0.0,0.0
Arizona,2020-03-19,45.0,0.0,0.0
Arizona,2020-03-20,78.0,0.0,0.0
Arizona,2020-03-21,118.0,1.0,0.0
Arizona,2020-03-22,152.0,2.0,0.0
Arizona,2020-03-23,235.0,2.0,0.0
Arizona,2020-03-24,326.0,5.0,0.0
Arizona,2020-03-25,401.0,6.0,0.0
Arizona,2020-03-26,508.0,8.0,0.0
Arizona,2020-03-27,665.0,13.0,0.0
Arizona,2020-03-28,773.0,15.0,0.0
Arizona,2020-03-29,919.0,17.0,0.0
Arizona,2020-03-30,1157.0,20.0,0.0
Arizona,2020-03-31,1289.0,24.0,0.0
Arizona,2020-04-01,1530.0,29.0,0.0
Arizona,2020-04-02,1715.0,32.0,0.0
Arizona,2020-04-03,1937.0,41.0,0.0
Arizona,2020-04-04,2187.0,52.0,0.0
Arizona,2020-04-05,2486.0,64.0,0.0
Arizona,2020-04-06,2732.0,65.0,0.0
Arkansas,2020-03-10,0.0,0.0,0.0
Arkansas,2020-03-11,7.0,0.0,0.0
Arkansas,2020-03-12,6.0,0.0,0.0
Arkansas,2020-03-14,12.0,0.0,0.0
Arkansas,2020-03-15,16.0,0.0,0.0
Arkansas,2020-03-16,44.0,0.0,0.0
Arkansas,2020-03-18,33.0,0.0,0.0
Arkansas,2020-03-19,62.0,0.0,0.0
Arkansas,2020-03-20,96.0,0.0,0.0
Arkansas,2020-03-21,122.0,0.0,0.0
Arkansas,2020-03-22,165.0,0.0,0.0
Arkansas,2020-03-23,192.0,0.0,0.0
Arkansas,2020-03-24,219.0,2.0,0.0
Arkansas,2020-03-25,280.0,2.0,0.0
Arkansas,2020-03-26,335.0,2.0,0.0
Arkansas,2020-03-27,381.0,3.0,0.0
Arkansas,2020-03-28,409.0,5.0,0.0
Arkansas,2020-03-29,426.0,6.0,0.0
Arkansas,2020-03-30,473.0,7.0,0.0
Arkansas,2020-03-31,523.0,8.0,0.0
Arkansas,2020-04-01,584.0,10.0,0.0
Arkansas,2020-04-02,643.0,12.0,0.0
Arkansas,2020-04-03,704.0,12.0,0.0
Arkansas,2020-04-04,743.0,14.0,0.0
Arkansas,2020-04-05,837.0,16.0,0.0
Arkansas,2020-04-06,875.0,16.0,0.0
California,2020-01-26,2.0,0.0,0.0
California,2020-01-27,2.0,0.0,0.0
California,2020-01-28,2.0,0.0,0.0
California,2020-01-29,2.0,0.0,0.0
California,2020-01-30,2.0,0.0,0.0
California,2020-01-31,2.0,0.0,0.0
California,2020-03-10,144.0,2.0,2.0
California,2020-03-11,459.0,7.0,8.0
California,2020-03-12,221.0,4.0,6.0
California,2020-03-14,340.0,5.0,6.0
California,2020-03-15,426.0,6.0,6.0
California,2020-03-16,557.0,7.0,6.0
California,2020-03-17,698.0,12.0,6.0
California,2020-03-18,751.0,13.0,0.0
California,2020-03-19,952.0,18.0,0.0
California,2020-03-20,1177.0,23.0,0.0
California,2020-03-21,1364.0,24.0,0.0
California,2020-03-22,1646.0,30.0,0.0
California,2020-03-23,2108.0,39.0,0.0
California,2020-03-24,2538.0,50.0,0.0
California,2020-03-25,2998.0,65.0,0.0
California,2020-03-26,3899.0,81.0,0.0
California,2020-03-27,4657.0,94.0,0.0
California,2020-03-28,5095.0,110.0,0.0
California,2020-03-29,5852.0,124.0,0.0
California,2020-03-30,7138.0,146.0,0.0
California,2020-03-31,8210.0,173.0,0.0
California,2020-04-01,9399.0,199.0,0.0
California,2020-04-02,10773.0,238.0,0.0
California,2020-04-03,12004.0,265.0,0.0
California,2020-04-04,12837.0,289.0,0.0
California,2020-04-05,15034.0,348.0,0.0
California,2020-04-06,16019.0,380.0,0.0
Chicago,2020-01-24,1.0,0.0,0.0
Colorado,2020-03-10,15.0,0.0,0.0
Colorado,2020-03-11,83.0,0.0,0.0
Colorado,2020-03-12,45.0,0.0,0.0
Colorado,2020-03-14,232.0,2.0,0.0
Colorado,2020-03-16,160.0,1.0,0.0
Colorado,2020-03-17,160.0,2.0,0.0
Colorado,2020-03-18,184.0,2.0,0.0
Colorado,2020-03-19,277.0,4.0,0.0
Colorado,2020-03-20,363.0,4.0,0.0
Colorado,2020-03-21,390.0,4.0,0.0
Colorado,2020-03-22,591.0,6.0,0.0
Colorado,2020-03-23,704.0,7.0,0.0
Colorado,2020-03-24,723.0,8.0,0.0
Colorado,2020-03-25,1021.0,16.0,0.0
Colorado,2020-03-26,1430.0,19.0,0.0
Colorado,2020-03-27,1433.0,27.0,0.0
Colorado,2020-03-28,1740.0,31.0,0.0
Colorado,2020-03-29,2307.0,47.0,0.0
Colorado,2020-03-30,2311.0,47.0,0.0
Colorado,2020-03-31,2966.0,69.0,0.0
Colorado,2020-04-01,2982.0,69.0,0.0
Colorado,2020-04-02,3342.0,80.0,0.0
Colorado,2020-04-03,3742.0,97.0,0.0
Colorado,2020-04-04,4188.0,111.0,0.0
Colorado,2020-04-05,4950.0,140.0,0.0
Colorado,2020-04-06,5183.0,150.0,0.0
Connecticut,2020-03-10,2.0,0.0,0.0
Connecticut,2020-03-11,14.0,0.0,0.0
Connecticut,2020-03-12,5.0,0.0,0.0
Connecticut,2020-03-14,22.0,0.0,0.0
Connecticut,2020-03-15,24.0,0.0,0.0
Connecticut,2020-03-16,30.0,0.0,0.0
Connecticut,2020-03-17,136.0,0.0,0.0
Connecticut,2020-03-19,159.0,2.0,0.0
Connecticut,2020-03-20,194.0,3.0,0.0
Connecticut,2020-03-21,194.0,4.0,0.0
Connecticut,2020-03-22,327.0,8.0,0.0
Connecticut,2020-03-23,415.0,10.0,0.0
Connecticut,2020-03-24,618.0,12.0,0.0
Connecticut,2020-03-25,875.0,19.0,0.0
Connecticut,2020-03-26,1012.0,21.0,0.0
